project_name	location	url_link	tenure	median_psf	median_price	filed_transactions
SERI BERINGIN	DAMANSARA HEIGHTS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/damansara-heights/seri-beringin/landed/?range=1909+May-	FREEHOLD	765	3035000.0	86
THE BREEZEWAY	DESA PARKCITY, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-parkcity/the-breezeway/non-landed/?range=1909+May-	FREEHOLD	905	1300000.0	86
TAMAN ANGKASA (JALAN PUCHONG)	PUCHONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/puchong/taman-angkasa--jalan-puchong-/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	179	300000.0	86
SRI SUAJAYA	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/sri-suajaya/non-landed/?range=1909+May-	FREEHOLD	139	150000.0	86
SRI BUKIT PERSEKUTUAN	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/sri-bukit-persekutuan/non-landed/?range=1909+May-	FREEHOLD	847	2250000.0	85
TAMAN BULLION MEWAH	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-bullion-mewah/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	268	530000.0	85
MAXIM RESIDENCES	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/maxim-residences/non-landed/?range=1909+May-	LEASEHOLD	476	460000.0	85
SERENE KIARA	SRI HARTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-hartamas/serene-kiara/landed/?range=1909+May-	FREEHOLD	661	2850000.0	85
ASTON KIARA 3	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/aston-kiara-3/non-landed/?range=1909+May-	FREEHOLD	428	680000.0	84
APARTMENT TAMAN CONNAUGHT	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/apartment-taman-connaught/non-landed/?range=1909+May-	LEASEHOLD	272	158000.0	83
MANOR APARTMENT	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/manor-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	194	180000.0	83
MUTIARA FADASON	JINJANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jinjang/mutiara-fadason/non-landed/?range=1909+May-	LEASEHOLD	185	120000.0	83
MENARA BINJAI	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/menara-binjai/non-landed/?range=1909+May-	FREEHOLD	340	530000.0	83
VORTEX SUITES & RESIDENCES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/vortex-suites---residences/non-landed/?range=1909+May-	FREEHOLD	1264	1000000.0	83
PINANG 1C	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/pinang-1c/non-landed/?range=1909+May-	LEASEHOLD	270	250000.0	83
TAMAN SEGAMBUT MUDA	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/taman-segambut-muda/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	227	170000.0	83
MH PLATINUM RESIDENCE	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/mh-platinum-residence/non-landed/?range=1909+May-	FREEHOLD	519	445000.0	83
PINGGIRAN KIARA	TAMAN TUN DR ISMAIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-tun-dr-ismail/pinggiran-kiara/non-landed/?range=1909+May-	FREEHOLD	280	450000.0	83
TARA KONDOMINIUM	AMPANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/ampang/tara-kondominium/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	459	1250000.0	82
TAMAN SA	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/taman-sa/landed/?range=1909+May-	FREEHOLD	545	2050000.0	82
SEGAR VIEW	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/segar-view/non-landed/?range=1909+May-	FREEHOLD	335	319000.0	82
TAMAN KOK DOH	JINJANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jinjang/taman-kok-doh/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	146	246500.0	82
RAJA MOHAR SCHEME	KERAMAT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/keramat/raja-mohar-scheme/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	215	2900000.0	82
JUBILEE COURT	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/jubilee-court/non-landed/?range=1909+May-	LEASEHOLD	116	86750.0	82
JALAN SENTUL	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/jalan-sentul/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	253	475000.0	82
PLATINUM HILL PV3	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/platinum-hill-pv3/non-landed/?range=1909+May-	FREEHOLD	359	460000.0	82
TAMAN SETIAWANGSA	SETIAWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setiawangsa/taman-setiawangsa/non-landed/?range=1909+May-	FREEHOLD	109	96500.0	82
SUCASA APARTMENT	BANDAR KUALA LUMPUR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-kuala-lumpur/sucasa-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	339	295000.0	81
VILLA LAGENDA	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/villa-lagenda/non-landed/?range=1909+May-	LEASEHOLD	293	410000.0	81
633 RESIDENCY	BRICKFIELDS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/brickfields/633-residency/non-landed/?range=1909+May-	FREEHOLD	611	865000.0	81
AURORA SOVO @ BUKIT JALIL	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/aurora-sovo---bukit-jalil/non-landed/?range=1909+May-	FREEHOLD	898	486145.0	81
VILLA BUKIT TUNKU	BUKIT TUNKU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-tunku/villa-bukit-tunku/non-landed/?range=1909+May-	FREEHOLD	492	1160000.0	81
DESA PANDAN FLAT BLOCK E	DESA PANDAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-pandan/desa-pandan-flat-block-e/non-landed/?range=1909+May-	LEASEHOLD	257	185000.0	81
DOWNTOWN CONDOMINIUM	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/downtown-condominium/non-landed/?range=1909+May-	FREEHOLD	270	390000.0	81
PANGSAPURI DESA TENAGA	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/pangsapuri-desa-tenaga/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	325	245000.0	81
8 PETALING	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/8-petaling/non-landed/?range=1909+May-	LEASEHOLD	435	820000.0	81
BUKIT ANGGERIK	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/bukit-anggerik/non-landed/?range=1909+May-	LEASEHOLD	93	56000.0	80
