project_name	location	url_link	tenure	median_psf	median_price	filed_transactions
RESIDENSI UNGGUL/ FIRST RESIDENCE	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/residensi-unggul--first-residence/non-landed/?range=1909+May-	LEASEHOLD	423	450000.0	306
PERTIWI INDAH	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/pertiwi-indah/non-landed/?range=1909+May-	LEASEHOLD	297	350000.0	305
TAMAN KOBENA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-kobena/non-landed/?range=1909+May-	LEASEHOLD	121	95000.0	305
PETALING GARDEN	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/petaling-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	190	320000.0	303
AVELON TOWER @ PLAZA MEDAN PUTRA	BANDAR MENJALARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-menjalara/avelon-tower---plaza-medan-putra/non-landed/?range=1909+May-	FREEHOLD	381	330000.0	301
BANDAR TASIK SELATAN	BANDAR TASIK SELATAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-tasik-selatan/bandar-tasik-selatan/landed/?range=1909+May-	LEASEHOLD	209	300000.0	301
TAMAN BATU PERMAI	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-batu-permai/non-landed/?range=1909+May-	LEASEHOLD	123	80000.0	301
GEMILANG INDAH	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/gemilang-indah/non-landed/?range=1909+May-	FREEHOLD	168	140000.0	301
WEST COURT (TAMAN SRI SENTOSA)	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/west-court--taman-sri-sentosa-/non-landed/?range=1909+May-	LEASEHOLD	103	80888.0	299
TAMAN MEGAH KEPONG	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/taman-megah-kepong/landed/?range=1909+May-	FREEHOLD	292	467500.0	298
CASA IDAMAN	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/casa-idaman/non-landed/?range=1909+May-	LEASEHOLD	372	392500.0	298
JALIL DAMAI APARTMENT	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/jalil-damai-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	208	210000.0	295
MENTARI	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/mentari/non-landed/?range=1909+May-	LEASEHOLD	210	230000.0	295
PUTRA SURIA RESIDENSI	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/putra-suria-residensi/non-landed/?range=1909+May-	LEASEHOLD	395	296500.0	294
TAMAN SETAPAK INDAH	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-setapak-indah/non-landed/?range=1909+May-	LEASEHOLD	144	95000.0	294
ENDAH PROMENADE	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/endah-promenade/non-landed/?range=1909+May-	LEASEHOLD	469	516500.0	292
SRI MUTIARA	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/sri-mutiara/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	182	176000.0	290
CENTRIO PANTAI HILL PARK	PANTAI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/pantai/centrio-pantai-hill-park/non-landed/?range=1909+May-	LEASEHOLD	673	580000.0	290
SOUTHLAKE	DESA PARKCITY, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-parkcity/southlake/landed/?range=1909+May-	FREEHOLD	464	870000.0	287
SRI INTAN 1	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/sri-intan-1/non-landed/?range=1909+May-	FREEHOLD	141	152888.0	287
PANGSARIA PETALING	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/pangsaria-petaling/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	126	104500.0	286
PANGSAPURI MELUR	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/pangsapuri-melur/non-landed/?range=1909+May-	LEASEHOLD	296	307500.0	286
AVANT COURT	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/avant-court/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	168	180000.0	285
TAMAN SRI MURNI FLAT	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-sri-murni-flat/non-landed/?range=1909+May-	LEASEHOLD	120	67750.0	284
SOHO SUITES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/soho-suites/non-landed/?range=1909+May-	FREEHOLD	1327	928000.0	283
ST MARY RESIDENCES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/st-mary-residences/non-landed/?range=1909+May-	FREEHOLD	1230	1700000.0	282
TAMAN KOK LIAN	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/taman-kok-lian/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	207	232000.0	281
KENARI APARTMENT	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/kenari-apartment/non-landed/?range=1909+May-	FREEHOLD	151	121000.0	280
KIARAMAS CENDANA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/kiaramas-cendana/non-landed/?range=1909+May-	FREEHOLD	491	978000.0	279
VISTANA CONDO	TITIWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/titiwangsa/vistana-condo/non-landed/?range=1909+May-	FREEHOLD	263	300000.0	278
CASA MUTIARA SERVICE APARTMENT	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/casa-mutiara-service-apartment/non-landed/?range=1909+May-	FREEHOLD	630	325000.0	275
PRIMA SETAPAK	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/prima-setapak/non-landed/?range=1909+May-	LEASEHOLD	300	388000.0	275
FORTUNE COURT	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/fortune-court/non-landed/?range=1909+May-	LEASEHOLD	175	165000.0	273
PERINDU TOWNHOUSE	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/perindu-townhouse/landed/?range=1909+May-	FREEHOLD	90	110000.0	273
UNION HEIGHTS(STRATA)	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/union-heights-strata-/non-landed/?range=1909+May-	FREEHOLD	173	210000.0	272
VIPOD SUITES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/vipod-suites/non-landed/?range=1909+May-	FREEHOLD	1575	1200000.0	271
THE CAPSQUARE RESIDENCES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/the-capsquare-residences/non-landed/?range=1909+May-	FREEHOLD	607	1150000.0	270
TAMAN MUTIARA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-mutiara/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	194	428000.0	269
HIJAUAN KIARA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/hijauan-kiara/non-landed/?range=1909+May-	FREEHOLD	599	1450000.0	269
11 MONT KIARA @ MK11	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/11-mont-kiara---mk11/non-landed/?range=1909+May-	FREEHOLD	802	2520000.0	268
AVENUE COURT	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/avenue-court/non-landed/?range=1909+May-	LEASEHOLD	173	160444.0	268
KB AIR PANAS	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/kb-air-panas/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	88	266500.0	268
PLAZA METRO PRIMA	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/plaza-metro-prima/non-landed/?range=1909+May-	LEASEHOLD	221	252000.0	267
TAMAN KEPONG INDAH	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/taman-kepong-indah/non-landed/?range=1909+May-	LEASEHOLD	113	60000.0	267
LESTARI APARTMENT	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/lestari-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	171	140000.0	265
DESA GREEN	SEPUTEH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/seputeh/desa-green/non-landed/?range=1909+May-	FREEHOLD	686	515000.0	263
ANGGUN PURI	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/anggun-puri/non-landed/?range=1909+May-	FREEHOLD	318	300000.0	261
IDAMAN RESIDENCE	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/idaman-residence/non-landed/?range=1909+May-	FREEHOLD	813	1297500.0	260
MONT KIARA MERIDIN	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/mont-kiara-meridin/non-landed/?range=1909+May-	FREEHOLD	530	1050000.0	260
PRIMA SETAPAK 2	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/prima-setapak-2/non-landed/?range=1909+May-	FREEHOLD	240	346655.0	260
TAMAN MELEWAR	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-melewar/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	133	255000.0	257
28 MONT KIARA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/28-mont-kiara/non-landed/?range=1909+May-	FREEHOLD	740	1970000.0	257
GATEWAY KIARAMAS	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/gateway-kiaramas/non-landed/?range=1909+May-	FREEHOLD	607	605000.0	257
VILLA WANGSAMAS CONDO	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/villa-wangsamas-condo/non-landed/?range=1909+May-	FREEHOLD	264	338000.0	257
ENDAH PURI CONDOMINIUM	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/endah-puri-condominium/non-landed/?range=1909+May-	LEASEHOLD	281	350000.0	257
WATERFALL TARRACE (TAMAN DESA PETALING)	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/waterfall-tarrace--taman-desa-petaling-/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	151	178000.0	256
BANGSAR HEIGHTS	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/bangsar-heights/non-landed/?range=1909+May-	FREEHOLD	254	309000.0	255
MERCU SUMMER SUITES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/mercu-summer-suites/non-landed/?range=1909+May-	LEASEHOLD	990	495000.0	255
PLATINUM LAKE PV16	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/platinum-lake-pv16/non-landed/?range=1909+May-	LEASEHOLD	398	540000.0	255
VILLA MAS TOWNHOUSE	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/villa-mas-townhouse/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	290	485000.0	254
MENARA PROMENADE	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/menara-promenade/non-landed/?range=1909+May-	FREEHOLD	397	585863.0	254
SAN PENG	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/san-peng/non-landed/?range=1909+May-	LEASEHOLD	114	67000.0	254
TAMAN CHERAS (YULEK HEIGHTS)	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-cheras--yulek-heights-/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	99	78000.0	253
KIARA 1888	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/kiara-1888/non-landed/?range=1909+May-	FREEHOLD	509	877500.0	252
THE ORION	TITIWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/titiwangsa/the-orion/non-landed/?range=1909+May-	FREEHOLD	480	654620.0	252
LAMAN RESIDENCE	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/laman-residence/landed/?range=1909+May-	LEASEHOLD	307	890000.0	251
AMADESA	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/amadesa/non-landed/?range=1909+May-	LEASEHOLD	359	380000.0	251
PANGSAPURI SENTUL UTARA	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/pangsapuri-sentul-utara/non-landed/?range=1909+May-	LEASEHOLD	131	80000.0	251
PELANGI	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/pelangi/non-landed/?range=1909+May-	FREEHOLD	191	250000.0	251
BEVERLY TOWER @ PLAZA MEDAN PUTRA	BANDAR MENJALARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-menjalara/beverly-tower---plaza-medan-putra/non-landed/?range=1909+May-	FREEHOLD	433	380000.0	250
MENJALARA 18	BANDAR MENJALARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-menjalara/menjalara-18/non-landed/?range=1909+May-	FREEHOLD	311	475743.0	250
SRI RAKYAT APARTMENT	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/sri-rakyat-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	111	73350.0	250
CASA KIARA II	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/casa-kiara-ii/non-landed/?range=1909+May-	FREEHOLD	553	821000.0	250
PANGSAPURI PERMAI	SUNGAI BESI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sungai-besi/pangsapuri-permai/non-landed/?range=1909+May-	LEASEHOLD	232	150000.0	250
ANGKASA IMPIAN 1	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/angkasa-impian-1/non-landed/?range=1909+May-	LEASEHOLD	303	430000.0	248
SRI AYU	SETIAWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setiawangsa/sri-ayu/non-landed/?range=1909+May-	FREEHOLD	191	225000.0	248
PANGSA MURNI TITIWANGSA	KERAMAT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/keramat/pangsa-murni-titiwangsa/non-landed/?range=1909+May-	LEASEHOLD	144	100000.0	247
MAXIM CITILIGHTS	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/maxim-citilights/non-landed/?range=1909+May-	LEASEHOLD	416	400000.0	247
TAMAN FADASON	JINJANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jinjang/taman-fadason/landed/?range=1909+May-	LEASEHOLD	344	550000.0	246
TIARA MUTIARA / THE CROWN	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/tiara-mutiara---the-crown/non-landed/?range=1909+May-	FREEHOLD	524	426000.0	246
TAMAN IMPIAN INDAH (PARAGON HEIGHT)	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/taman-impian-indah--paragon-height-/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	312	630000.0	245
TAMAN CHERAS UTAMA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-cheras-utama/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	202	250000.0	245
SWISS GARDEN RESIDENCES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/swiss-garden-residences/non-landed/?range=1909+May-	FREEHOLD	1038	650000.0	244
LUMAYAN APARTMENT	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/lumayan-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	223	185000.0	243
ZENIA	DESA PARKCITY, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-parkcity/zenia/landed/?range=1909+May-	FREEHOLD	1225	1950000.0	243
SRI PUTRAMAS III (ROYAL REGENT)	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/sri-putramas-iii--royal-regent-/non-landed/?range=1909+May-	FREEHOLD	573	620000.0	243
ONE MENERUNG	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/one-menerung/non-landed/?range=1909+May-	FREEHOLD	1077	3660000.0	242
CITY GARDENS	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/city-gardens/non-landed/?range=1909+May-	LEASEHOLD	310	407500.0	242
THE PANORAMA	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/the-panorama/non-landed/?range=1909+May-	FREEHOLD	1218	1450000.0	242
KIARA PARK	TAMAN TUN DR ISMAIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-tun-dr-ismail/kiara-park/non-landed/?range=1909+May-	FREEHOLD	259	335000.0	242
SETAPAK GREEN CONDOMINIUM	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/setapak-green-condominium/non-landed/?range=1909+May-	FREEHOLD	458	648000.0	241
LAMAN DAMAI (LI GARDEN)	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/laman-damai--li-garden-/non-landed/?range=1909+May-	FREEHOLD	282	185000.0	239
PANTAI HILLPARK 2	PANTAI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/pantai/pantai-hillpark-2/non-landed/?range=1909+May-	LEASEHOLD	406	400000.0	239
PLATINUM LAKE PV15	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/platinum-lake-pv15/non-landed/?range=1909+May-	LEASEHOLD	376	510000.0	239
38 BIDARA	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/38-bidara/non-landed/?range=1909+May-	FREEHOLD	656	490000.0	237
CERIAAN KIARA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/ceriaan-kiara/non-landed/?range=1909+May-	FREEHOLD	472	960000.0	237
KEPONG BARU	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/kepong-baru/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	325	595000.0	237
MEDAN PUTRA CONDOMINIUM	BANDAR MENJALARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-menjalara/medan-putra-condominium/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	203	210400.0	236
TAMAN BUKIT SEGAR	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-bukit-segar/non-landed/?range=1909+May-	LEASEHOLD	105	60000.0	236
VIVA RESIDENCY	JALAN IPOH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-ipoh/viva-residency/non-landed/?range=1909+May-	FREEHOLD	416	390000.0	236
PEARL POINT	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/pearl-point/non-landed/?range=1909+May-	FREEHOLD	155	170000.0	236
TAMAN GEMILANG	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-gemilang/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	122	150000.0	235
KB SALAK SELATAN	SALAK SOUTH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/salak-south/kb-salak-selatan/landed/?range=1909+May-	LEASEHOLD	47	200000.0	235
DUTA NUSANTARA	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/duta-nusantara/landed/?range=1909+May-	FREEHOLD	562	2796973.0	232
MIHARJA CONDOMINIUM	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/miharja-condominium/non-landed/?range=1909+May-	LEASEHOLD	323	310000.0	231
CASA VISTA	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/casa-vista/non-landed/?range=1909+May-	FREEHOLD	345	430000.0	230
PERMAI RIA	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/permai-ria/non-landed/?range=1909+May-	FREEHOLD	185	169000.0	230
JALIL DAMAI	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/jalil-damai/non-landed/?range=1909+May-	FREEHOLD	394	390000.0	230
LAMAN MIDAH	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/laman-midah/non-landed/?range=1909+May-	FREEHOLD	306	243500.0	230
MENARA DUTA 2	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/menara-duta-2/non-landed/?range=1909+May-	FREEHOLD	224	339500.0	230
METRO PRIMA -SURIA MAGNA	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/metro-prima--suria-magna/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	39	25000.0	230
TAMAN MULIA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-mulia/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	195	347000.0	229
TAMAN KUCHAI JAYA	KUCHAI LAMA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kuchai-lama/taman-kuchai-jaya/non-landed/?range=1909+May-	LEASEHOLD	115	60000.0	229
PLAZA 393 CITY APARTMENT	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/plaza-393-city-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	177	165000.0	228
KAMPUNG DATOK KERAMAT	KERAMAT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/keramat/kampung-datok-keramat/landed/?range=1909+May-	LEASEHOLD	80	301124.0	228
DESA KUDALARI	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/desa-kudalari/non-landed/?range=1909+May-	FREEHOLD	458	500000.0	227
SRI TTDI	TAMAN TUN DR ISMAIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-tun-dr-ismail/sri-ttdi/non-landed/?range=1909+May-	FREEHOLD	230	250000.0	227
KIARA RESIDENCE (RESIDENSI KIARA JALIL 1)	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/kiara-residence--residensi-kiara-jalil-1-/non-landed/?range=1909+May-	LEASEHOLD	517	600000.0	226
CONNAUGHT AVENUE	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/connaught-avenue/non-landed/?range=1909+May-	LEASEHOLD	387	370000.0	226
MANDY VILLA	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/mandy-villa/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	247	250000.0	226
KELOMPOK BUNGA RAYA	SETIAWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setiawangsa/kelompok-bunga-raya/non-landed/?range=1909+May-	LEASEHOLD	118	65000.0	226
BANDAR BARU SRI PETALING	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/bandar-baru-sri-petaling/non-landed/?range=1909+May-	LEASEHOLD	96	68000.0	226
HARTAMAS REGENCY 2	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/hartamas-regency-2/non-landed/?range=1909+May-	FREEHOLD	495	860000.0	225
SUTRAMAS	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/sutramas/non-landed/?range=1909+May-	FREEHOLD	433	715400.0	225
ANGKASA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/angkasa/non-landed/?range=1909+May-	FREEHOLD	443	410000.0	224
PUDU IMPIAN 2 - VILA TROPIKA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/pudu-impian-2---vila-tropika/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	180	170000.0	224
SERI MAS	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/seri-mas/non-landed/?range=1909+May-	LEASEHOLD	288	271000.0	224
RAMADA (ONE @ BUKIT CEYLON)	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/ramada--one---bukit-ceylon-/non-landed/?range=1909+May-	FREEHOLD	1380	604022.0	224
SETAPAK JAYA 1B	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/setapak-jaya-1b/non-landed/?range=1909+May-	LEASEHOLD	88	48500.0	224
